Cutoff,Home Team,Away Team,Margin,PMF
2026-03-17,Liberty,George Mason,27,0.008902079393918492
2026-03-17,Liberty,George Mason,28,0.008377206221197371
2026-03-17,Liberty,George Mason,29,0.007866185425489539
2026-03-17,Liberty,George Mason,30,0.007370430049546866
2026-03-17,Liberty,George Mason,31,0.006891148325857378
2026-03-17,Liberty,George Mason,32,0.006429347450483359
2026-03-17,Liberty,George Mason,33,0.005985839467211995
2026-03-17,Liberty,George Mason,34,0.0055612490032658154
2026-03-17,Liberty,George Mason,35,0.005156022588304902
2026-03-17,Liberty,George Mason,36,0.004770439285138793
2026-03-17,Liberty,George Mason,37,0.004404622362933168
2026-03-17,Liberty,George Mason,38,0.004058551751130465
2026-03-17,Liberty,George Mason,39,0.0037320770241277296
2026-03-17,Liberty,George Mason,40,0.0034249306822518896
2026-03-17,Liberty,George Mason,41,0.0031367415130118654
2026-03-17,Liberty,George Mason,42,0.002867047837266195
2026-03-17,Liberty,George Mason,43,0.0026153104671288833
2026-03-17,Liberty,George Mason,44,0.002380925225493429
2026-03-17,Liberty,George Mason,45,0.002163234900389938
2026-03-17,Liberty,George Mason,46,0.0019615405304723526
2026-03-17,Liberty,George Mason,47,0.0017751119403037452
2026-03-17,Liberty,George Mason,48,0.0016031974653827985
2026-03-17,Liberty,George Mason,49,0.0014450328267251046
2026-03-17,Liberty,George Mason,50,0.0012998491330425575
2026-03-17,Liberty,George Mason,51,0.0011668800049861978
2026-03-17,Liberty,George Mason,52,0.001045367830429476
2026-03-17,Liberty,George Mason,53,0.0009345691723246627
2026-03-17,Liberty,George Mason,54,0.0008337593612698918
2026-03-17,Liberty,George Mason,55,0.0007422363136254013
2026-03-17,Liberty,George Mason,56,0.0006593236228974444
2026-03-17,Liberty,George Mason,57,0.000584372977276765
2026-03-17,Liberty,George Mason,58,0.0005167659598057655
2026-03-17,Liberty,George Mason,59,0.0004559152897985909
2026-03-17,Liberty,George Mason,60,0.000401265565003743
2026-03-17,Liberty,George Mason,61,0.0003522935637349186
2026-03-17,Liberty,George Mason,62,0.00030850816495737635
2026-03-17,Liberty,George Mason,63,0.00026944994225467365
2026-03-17,Liberty,George Mason,64,0.0002346904848580581
2026-03-17,Liberty,George Mason,65,0.00020383149563359994
2026-03-17,Liberty,George Mason,66,0.0001765037122164135
2026-03-17,Liberty,George Mason,67,0.0001523656934729729
2026-03-17,Liberty,George Mason,68,0.00013110250926748194
2026-03-17,Liberty,George Mason,69,0.00011242436720238164
2026-03-17,Liberty,George Mason,70,9.606520568269777e-05
2026-03-17,Liberty,George Mason,71,8.178127839633528e-05
2026-03-17,Liberty,George Mason,72,6.934975117628477e-05
2026-03-17,Liberty,George Mason,73,5.856732827658197e-05
2026-03-17,Liberty,George Mason,74,4.9248921404390334e-05
2026-03-17,Liberty,George Mason,75,4.122637145067854e-05
2026-03-17,Liberty,George Mason,76,3.434722978868818e-05
2026-03-17,Liberty,George Mason,77,2.8473603291747457e-05
2026-03-17,Liberty,George Mason,78,2.3481064880606165e-05
2026-03-17,Liberty,George Mason,79,1.92576294571585e-05
2026-03-17,Liberty,George Mason,80,1.570279351884188e-05
2026-03-17,Liberty,George Mason,81,1.2726635569377038e-05
2026-03-17,Liberty,George Mason,82,1.0248973630572176e-05
2026-03-17,Liberty,George Mason,83,8.198575691136265e-06
2026-03-17,Liberty,George Mason,84,6.512418767610918e-06
2026-03-17,Liberty,George Mason,85,5.1349923577522365e-06
2026-03-17,Liberty,George Mason,86,4.017642389780292e-06
2026-03-17,Liberty,George Mason,87,3.117952259207335e-06
2026-03-17,Liberty,George Mason,88,2.399158143453747e-06
2026-03-17,Liberty,George Mason,89,1.8295964382055783e-06
2026-03-17,Liberty,George Mason,90,1.3821818160578004e-06
2026-03-17,Liberty,George Mason,91,1.0339150200085155e-06
2026-03-17,Liberty,George Mason,92,7.654200316627739e-07
2026-03-17,Liberty,George Mason,93,5.605106655168014e-07
2026-03-17,Liberty,George Mason,94,4.057869158185215e-07
2026-03-17,Liberty,George Mason,95,2.9026151176559775e-07
2026-03-17,Liberty,George Mason,96,2.0501712183081209e-07
2026-03-17,Liberty,George Mason,97,1.4289450073892025e-07
2026-03-17,Liberty,George Mason,98,9.82116138516519e-08
2026-03-17,Liberty,George Mason,99,6.651343103170492e-08
2026-03-17,Liberty,George Mason,100,4.435168734684608e-08
2026-03-17,Liberty,George Mason,101,2.9093494744680523e-08
2026-03-17,Liberty,George Mason,102,1.8757289495634702e-08
2026-03-17,Liberty,George Mason,103,1.1874243642470117e-08
2026-03-17,Liberty,George Mason,104,7.372978227432486e-09
2026-03-17,Liberty,George Mason,105,4.4852080407067295e-09
2026-03-17,Liberty,George Mason,106,2.6698307129701042e-09
2026-03-17,Liberty,George Mason,107,1.5529481641167433e-09
2026-03-17,Liberty,George Mason,108,8.813697573294313e-10
2026-03-17,Liberty,George Mason,109,4.872823237304127e-10
2026-03-17,Liberty,George Mason,110,2.619667937955069e-10
2026-03-17,Liberty,George Mason,111,1.3667656007377323e-10
2026-03-17,Liberty,George Mason,112,6.905057535937933e-11
2026-03-17,Liberty,George Mason,113,3.369746639947206e-11
2026-03-17,Liberty,George Mason,114,1.584102045818561e-11
2026-03-17,Liberty,George Mason,115,7.15101297290058e-12
2026-03-17,Liberty,George Mason,116,3.0889086344287434e-12
2026-03-17,Liberty,George Mason,117,1.2715174514131338e-12
2026-03-17,Liberty,George Mason,118,4.964394297553678e-13
2026-03-17,Liberty,George Mason,119,1.828249449037226e-13
2026-03-17,Liberty,George Mason,120,6.309391272216125e-14
2026-03-17,Liberty,George Mason,121,2.024467276587887e-14
2026-03-17,Liberty,George Mason,122,5.981942304309477e-15
2026-03-17,Liberty,George Mason,123,1.6084151164446989e-15
2026-03-17,Liberty,George Mason,124,3.875794712235846e-16
2026-03-17,Liberty,George Mason,125,8.203664672490375e-17
2026-03-17,Liberty,George Mason,126,1.483711769488998e-17
2026-03-17,Liberty,George Mason,127,2.2024903294246184e-18
2026-03-17,Liberty,George Mason,128,2.5173479342750746e-19
2026-03-17,Liberty,George Mason,129,1.970470809402109e-20
2026-03-17,Liberty,George Mason,130,7.927871530413508e-22
2026-03-17,UMBC,Howard,-130,1.9558814115765152e-22
2026-03-17,UMBC,Howard,-129,4.913580219688548e-21
2026-03-17,UMBC,Howard,-128,6.344644687594752e-20
2026-03-17,UMBC,Howard,-127,5.610583224898364e-19
2026-03-17,UMBC,Howard,-126,3.820035903591286e-18
2026-03-17,UMBC,Howard,-125,2.1347337707417194e-17
2026-03-17,UMBC,Howard,-124,1.0193153595811907e-16
2026-03-17,UMBC,Howard,-123,4.2751568427808196e-16
2026-03-17,UMBC,Howard,-122,1.606927981364372e-15
2026-03-17,UMBC,Howard,-121,5.4961615800567896e-15
2026-03-17,UMBC,Howard,-120,1.7311115425810644e-14
2026-03-17,UMBC,Howard,-119,5.069397021804117e-14
2026-03-17,UMBC,Howard,-118,1.3911208878630528e-13
2026-03-17,UMBC,Howard,-117,3.600752378555175e-13
2026-03-17,UMBC,Howard,-116,8.839811360810666e-13
2026-03-17,UMBC,Howard,-115,2.0680797671381124e-12
2026-03-17,UMBC,Howard,-114,4.629558264086126e-12
2026-03-17,UMBC,Howard,-113,9.951884864008558e-12
2026-03-17,UMBC,Howard,-112,2.0607354145785127e-11
2026-03-17,UMBC,Howard,-111,4.121839666615551e-11
2026-03-17,UMBC,Howard,-110,7.983270610221812e-11
